component,layer,head,token_id,token_text,logit_boost
layer_5.head_0,5,0,36764,agonists,0.08241614699363708
layer_5.head_1,5,1,29112, twentieth,0.07027553021907806
layer_5.head_1,5,1,22109,itous,0.06827092915773392
layer_5.head_1,5,1,13952, spare,0.06699298322200775
layer_5.head_1,5,1,3131, extra,0.06497544050216675
layer_5.head_1,5,1,23212, ultr,0.06475023925304413
layer_5.head_2,5,2,7017, goods,0.021905073896050453
layer_5.head_2,5,2,41909,adr,0.021038895472884178
layer_5.head_2,5,2,28153,eer,0.020428501069545746
layer_5.head_2,5,2,36825,awed,0.02041076496243477
layer_5.head_2,5,2,44208,ِ,0.02021091617643833
layer_5.head_3,5,3,27796,ovy,0.010627401992678642
layer_5.head_3,5,3,11647,merce,0.010408665984869003
layer_5.head_3,5,3,463,ud,0.009108467027544975
layer_5.head_3,5,3,16589," ],",0.009071949869394302
layer_5.head_3,5,3,26792,inges,0.008951748721301556
layer_5.head_4,5,4,34565,worn,0.03006177395582199
layer_5.head_4,5,4,8623,onder,0.02936733327805996
layer_5.head_4,5,4,22460,ificate,0.028016429394483566
layer_5.head_4,5,4,10695,hire,0.027953065931797028
layer_5.head_4,5,4,26576,ACA,0.027690064162015915
layer_5.head_5,5,5,17429,UTC,0.08640861511230469
layer_5.head_5,5,5,25925,flush,0.07425769418478012
layer_5.head_5,5,5,23614,覚醒,0.07226865738630295
layer_5.head_5,5,5,31204,��,0.07191739231348038
layer_5.head_5,5,5,41957,IDA,0.07084174454212189
layer_5.head_6,5,6,37846,CHR,0.024078641086816788
layer_5.head_6,5,6,38638,Í,0.020687690004706383
layer_5.head_6,5,6,25552,AGES,0.01971348375082016
layer_5.head_6,5,6,47246,aez,0.01938699558377266
layer_5.head_6,5,6,34892,ZA,0.018847821280360222
layer_5.head_7,5,7,2609, charg,0.034417007118463516
layer_5.head_7,5,7,20043,chet,0.033868107944726944
layer_5.head_7,5,7,17510, sync,0.03229162469506264
layer_5.head_7,5,7,49363, Ü,0.03209546208381653
